Adresse;Campus;Zeitraum;Menge;Einheit;Art;Versorger;Gebäude;Baujahr;Sanierung;Nettogrundfläche
Hauptstraße 207;Campus Altstadt;Jahr;334;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;1010;1742;;3551,99
Hauptstraße 207-209;Campus Altstadt;Jahr;333;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;1010;1742;;3551,99
Kalrstraße 2;Campus Altstadt;Jahr;326;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;1030;1744;;1082,81
Bergheimer Straße 139-151;Campus Bergheim;Jahr;2;MWh;Strom;P. J. Landfried;1036;;;
Karlstraße 16;Campus Altstadt;Jahr;142;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;1040;1964;;1390,16
Hauptstraße 216;Campus Altstadt;Jahr;1;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;1050;;;157,64
;;;;;;;;;;
Theoretikum 70%;Campus INF;Jahr;11138;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;1054;;;
Trafostation 1/5;Campus INF;Jahr;64;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;1055;;;
Plankengasse 3;Campus Altstadt;Jahr;132;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;1060;;;1227,92
Trafostation 2/0;Campus INF;Jahr;3131;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;1063;;;
Trafostation 1/6;Campus INF;Jahr;4703;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;1067;;;
;;;;;;;;;;
Hauptstraße 231;Campus Altstadt;Jahr;3;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;1073;;;299,05
Theoretikum I;Campus INF;Jahr;5966;MWh;Kälte;E.ON Energy Solutions GmbH;1079;;;
Hauptstraße 242;Campus Altstadt;Jahr;14;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;1080;;;857,25
Hauptstraße 242;Campus Altstadt;Jahr;114;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;1080;;;857,25
Theoretikum II;Campus INF;Jahr;212;MWh;Kälte;E.ON Energy Solutions GmbH;1080;;;857,25
Theoretikum 70%;Campus INF;Jahr;18302;MWh;Wärme;E.ON Energy Solutions GmbH;1134;;;
Theoretikum;Campus INF;Jahr;1058;MWh;Wärme;E.ON Energy Solutions GmbH;1138;;;
Theoretikum;Campus INF;Jahr;1;MWh;Gas;Universitätsklinikum Heidelberg;1161;;;
Kisselgasse 1;Campus Altstadt;Jahr;134;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;1200;1974;;3783,77
Marstallhof 1;Campus Altstadt;Jahr;1307;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;2040;1965;;6842,52
Marstallhof 4;Campus Altstadt;Jahr;930;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2040;1965;;6842,52
;;;;;;;;;;
Marstallstraße 6;Campus Altstadt;Jahr;205;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2070;1826;;2436,48
Grabengasse 1;Campus Altstadt;Jahr;516;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2090;1718;;2385,02
Grabengasse 14;Campus Altstadt;Jahr;2132;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;2100;1978;;23528,62
Grabengasse 14;Campus Altstadt;Jahr;1740;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2100;1978;;23528,62
;;;;;;;;;;
Plöck 107-109;Campus Altstadt;Jahr;935;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2130;1905;;11729,98
Augustinergasse 7;Campus Altstadt;Jahr;461;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2140;1713;;1064,49
Grabengasse 3;Campus Altstadt;Jahr;2171;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;2170;1931;;12336,86
Grabengasse 3-5;Campus Altstadt;Jahr;1618;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2171;1990;;2948,06
Schulgasse 6;Campus Altstadt;Jahr;326;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2190;1716;;2057,48
Schurmanstraße 2;Campus Bergheim;Jahr;10;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;2190;1716;;2057,48
Seminarstraße 2;Campus Altstadt;Jahr;589;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2200;1752;;6975,87
Hauptstraße 120;Campus Altstadt;Jahr;2;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;2205;;;955,81
Hauptstraße 120;Campus Altstadt;Jahr;25;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;2205;;;955,81
