Art;Stück
Desktop-Pcs;360
Geschirrspüler;8
Handys;55
Kopierpapier (Blauer Engel);
Kopierpapier (Eco Label);7707000
Kopierpapier (Keine Angabe);
Monitore;680
Notebooks;384
Tablets;111
Toilettenpapier;247782
