Art;Stück
Desktop-Pcs;435
Festplatten;111
Handys;47
Kopierpapier (Blauer Engel);3807500
Kopierpapier (Eco Label);4700000
Kopierpapier (Keine Angabe);14500
Monitore;945
Notebooks;661
Servers;48
Tablets;75
Toilettenpapier;291648
