Adresse;Campus;Zeitraum;Menge;Einheit;Art;Versorger;Gebäude;Baujahr;Sanierung;Nettogrundfläche
Hauptstraße 52;Campus Altstadt;Jahr;179,655;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;3030;1709;;2100,52
Akademiestraße 3;Campus Altstadt;Jahr;166,182;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;3040;1875;;1760,64
Akademiestraße 3 | Plöck 57;Campus Altstadt;Jahr;361,054;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;3051;1892;;3134,37
Akademiestraße 4;Campus Altstadt;Jahr;487,722;MWh;Strom;Pfalzwerke AG;3060;1986;;5226,86
Akademiestraße 4;Campus Altstadt;Jahr;324,46;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;3060;1986;;5226,86
Plöck 55;Campus Altstadt;Jahr;167,297;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;3070;1856;;2379,03
Friedrich-Ebert-Platz 2;Campus Altstadt;Jahr;253,394;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;3080;1929;;2383,88
Friedrich-Ebert-Anlage 8;Campus Altstadt;Jahr;198,353;MWh;Strom;Pfalzwerke AG;3091;1987;;1287,59
Friedrich-Ebert-Anlage 6-10;Campus Altstadt;Jahr;591,326;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;3091;1987;;1287,59
Friedrich-Ebert-Anlage 4;Campus Altstadt;Jahr;82,82222222;MWh;Öl;Haisch Mineralöle;3094;;;648,75
Friedrich-Ebert-Anlage 4;Campus Altstadt;Jahr;11,807;MWh;Strom;Pfalzwerke AG;3094;;;648,75
Plöck 79;Campus Altstadt;Jahr;151,992;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;3120;1846;;2115,97
Friedrich-Ebert-Anage 62;Campus Altstadt;Jahr;9,818;MWh;Strom;Pfalzwerke AG;3131;;;690,06
Friedrich-Ebert-Anlage 62;Campus Altstadt;Jahr;0,989;MWh;Strom;Pfalzwerke AG;3131;;;690,06
Friedrich-Ebert-Anlage 62;Campus Altstadt;Jahr;0,184;MWh;Strom;Pfalzwerke AG;3131;;;690,06
Voßstraße 2;Campus Bergheim;Jahr;26,1652;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;4110;;;1069,94
Voßstraße 2;Campus Bergheim;Jahr;4,019;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;4110;1878;;1069,94
Voßstraße 2;Campus Bergheim;Jahr;3,3893;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;4120;1876;;2025,06
Voßstraße 2;Campus Bergheim;Jahr;9,0115;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;4130;1876;;2047,7
Voßstraße 2;Campus Bergheim;Jahr;393,369;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;4131;1970;;4736,3
Bergheimer Straße 20;Campus Bergheim;Jahr;121,12461;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;4140;1877;;4789,84
Bergheimer Straße 20;Campus Bergheim;Jahr;421,97;MWh;Wärme;Universitätsklinikum Heidelberg;4140;1877;;4789,84
Bergheimer Straße 58;Campus Bergheim;Jahr;454,19735;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;4311;1929;;1766,76
Bergheimer Straße 58;Campus Bergheim;Jahr;1218,6;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;4311;1929;;1766,76
Voßstraße 2 (4370);Campus Bergheim;Jahr;74,7;MWh;Wärme;Universitätsklinikum Heidelberg;4370;1874;;434,5
Voßstraße 2 (4400);Campus Bergheim;Jahr;268;MWh;Wärme;Universitätsklinikum Heidelberg;4400;1875;;2784,06
Voßstraße 2 (4410);Campus Bergheim;Jahr;149,36;MWh;Wärme;Universitätsklinikum Heidelberg;4410;1872;;996,61
Schillerstraße 4;Campus Bergheim;Jahr;1,935;MWh;Strom;Pfalzwerke AG;5060;;;179,88
Im Neuenheimer Feld 205;Campus INF;Jahr;1153,88;MWh;Kälte;E.ON Energy Solutions GmbH;6205;2014;;17613,38
Berliner Straße 41-49, L3;Campus INF;Jahr;25,628;MWh;Strom;Pfalzwerke AG;6205;2014;;17613,38
Berliner Straße 41-49, MA3;Campus INF;Jahr;19,553;MWh;Strom;Pfalzwerke AG;6205;2014;;17613,38
Berliner Straße 41-49, MB1;Campus INF;Jahr;14,334;MWh;Strom;Pfalzwerke AG;6205;2014;;17613,38
Berliner Straße 41-49, MB3;Campus INF;Jahr;27,315;MWh;Strom;Pfalzwerke AG;6205;2014;;17613,38
Berliner Straße 41-49, NA;Campus INF;Jahr;6,38;MWh;Strom;Pfalzwerke AG;6205;2014;;17613,38
Berliner Straße 41-49, NB;Campus INF;Jahr;13,72;MWh;Strom;Pfalzwerke AG;6205;2014;;17613,38
Im Neuenheimer Feld 205;Campus INF;Jahr;1662,83325;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6205;2014;;17613,38
Im Neuenheimer Feld 205;Campus INF;Jahr;339,4;MWh;Wärme;E.ON Energy Solutions GmbH;6205;2014;;17613,38
Im Neuenheimer Feld 225;Campus INF;Jahr;534,6;MWh;Kälte;E.ON Energy Solutions GmbH;6225;2016;;6077,97
Im Neuenheimer Feld 225;Campus INF;Jahr;873,6;MWh;Wärme;E.ON Energy Solutions GmbH;6225;2016;;6077,97
Im Neuenheimer Feld 226;Campus INF;Jahr;792,238;MWh;Kälte;E.ON Energy Solutions GmbH;6226;2011;;9895,40
Im Neuenheimer Feld 226;Campus INF;Jahr;732,6;MWh;Wärme;E.ON Energy Solutions GmbH;6226;2011;;9895,40
;Campus INF;Jan;280,234;MWh;AV Strom;;6227;2002;;15285,02
;Campus INF;Feb;252,965;MWh;AV Strom;;6227;2002;;15285,02
;Campus INF;Mrz;261,436;MWh;AV Strom;;6227;2002;;15285,02
;Campus INF;Apr;233,348;MWh;AV Strom;;6227;2002;;15285,02
;Campus INF;Mai;242,058;MWh;AV Strom;;6227;2002;;15285,02
;Campus INF;Jun;245,708;MWh;AV Strom;;6227;2002;;15285,02
;Campus INF;Jul;251,066;MWh;AV Strom;;6227;2002;;15285,02
