Adresse;Campus;Zeitraum;Menge;Einheit;Art;Versorger;Gebäude;Baujahr;Sanierung;Nettogrundfläche
Hauptstraße 207;Campus Altstadt;Jahr;296,595;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;1010;1742;;3551,99
Hauptstraße 207-209;Campus Altstadt;Jahr;366,36;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;1010;1742;;3551,99
Karlstraße 2;Campus Altstadt;Jahr;363,4;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;1030;1744;;1082,81
;;;;;;;;;;
Karlstraße 16;Campus Altstadt;Jahr;146,718;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;1040;1964;;1390,16
Hauptstraße 216;Campus Altstadt;Jahr;1,6443;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;1050;;;157,64
Hauptstraße 216;Campus Altstadt;Jahr;0,1491;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;1050;;;157,64
Theoretikum 70%;Campus INF;Jahr;11612,7443;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;1054;;;
Trafostation 1/5;Campus INF;Jahr;57,75287958;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;1055;;;
Plankengasse 3;Campus Altstadt;Jahr;165,013;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;1060;;;1227,92
Trafostation 2/0;Campus INF;Jahr;3058,449508;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;1063;;;
Trafostation 1/6;Campus INF;Jahr;4237,816004;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;1067;;;
;;;;;;;;;;
Hauptstraße 231;Campus Altstadt;Jahr;2,862;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;1073;;;299,05
Theoretikum I;Campus INF;Jahr;5714,542;MWh;Kälte;E.ON Energy Solutions GmbH;1079;;;
Hauptstraße 242;Campus Altstadt;Jahr;18,27;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;1080;;;857,25
Hauptstraße 242;Campus Altstadt;Jahr;124,902;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;1080;;;857,25
Theoretikum II;Campus INF;Jahr;44,805;MWh;Kälte;E.ON Energy Solutions GmbH;1080;;;857,25
Theoretikum 70%;Campus INF;Jahr;19930,261;MWh;Wärme;E.ON Energy Solutions GmbH;1134;;;
Theoretikum;Campus INF;Jahr;996,123;MWh;Wärme;E.ON Energy Solutions GmbH;1138;;;
Theoretikum;Campus INF;Jahr;0,7658;MWh;Wärme;Universitätsklinikum Heidelberg;1161;;;
Kisselgasse 1;Campus Altstadt;Jahr;161,368;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;1200;1974;;3783,77
Marstallhof 1;Campus Altstadt;Jahr;836,316;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;2040;1965;;6842,52
Marstallhof 4;Campus Altstadt;Jahr;1646,1;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2040;1965;;6842,52
Fischmarkt 2;Campus Altstadt;Jahr;49,334;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;2065;;;1487,35
Marstallstraße 6;Campus Altstadt;Jahr;225,197;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2070;1826;;2436,48
Grabengasse 1;Campus Altstadt;Jahr;538,326;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2090;1718;;2385,02
Grabengasse 14;Campus Altstadt;Jahr;1932,689;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;2100;1978;;23528,62
Grabengasse 14;Campus Altstadt;Jahr;1706,3;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2100;1978;;23528,62
Sandgasse 1;Campus Altstadt;Jahr;0,087;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;2101;1977;;1989,9
Plöck 107-109;Campus Altstadt;Jahr;958,88;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2130;1905;;11729,98
Augustinergasse 7;Campus Altstadt;Jahr;519,033;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2140;1713;;1064,49
Grabengasse 3;Campus Altstadt;Jahr;1564,821;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;2170;1931;;12336,86
Grabengasse 3-5;Campus Altstadt;Jahr;1739,86;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2171;1990;;2948,06
Schulgasse 6;Campus Altstadt;Jahr;349,837;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2190;1716;;2057,48
Schurmanstraße 2;Campus Bergheim;Jahr;7,727;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;2190;1716;;2057,48
