Adresse;Campus;Zeitraum;Menge;Einheit;Art;Versorger;Gebäude;Baujahr;Sanierung;Nettogrundfläche
Seminarstraße 2;Campus Altstadt;Jahr;698,163;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2200;1752;;6975,87
Hauptstraße 120;Campus Altstadt;Jahr;3,545;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;2205;;;955,81
Hauptstraße 120;Campus Altstadt;Jahr;19,533;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;2205;;;955,81
Hauptstraße 120;Campus Altstadt;Jahr;150,225;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2205;;;955,81
Hauptstraße 113;Campus Altstadt;Jahr;1,7517;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;2206;;;212
Seminarstraße 3;Campus Altstadt;Jahr;597,13;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2210;1851;;4808,43
Kettengasse 12;Campus Altstadt;Jahr;423,37;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2220;1716;;3791,94
Seminarstraße 4;Campus Altstadt;Jahr;229,02;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2230;1858;;2371,97
Unter der Schanz 1;Campus Altstadt;Jahr;1,287;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;2270;;;624,3
Königstuhl;Campus Altstadt;Jahr;691,4666667;MWh;Wärme;Haisch Mineralöle;2805;1914;;735,88
;;;;;;;;;;
;;;;;;;;;;
Königstuhl 11;Campus Altstadt;Jahr;13,896;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;2805;1914;;735,88
Königstuhl 11;Campus Altstadt;Jahr;3,018;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;2805;1914;;735,88
;;;;;;;;;;
Königstuhl 12;Campus Altstadt;Jahr;123,305;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;2805;1914;;735,88
Brunnengasse 1;Campus Altstadt;Jahr;28,181;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;3010;1850;;3359,24
Hauptstraße 47;Campus Altstadt;Jahr;363;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;3020;1865;;4511,76
Hauptstraße 47;Campus Altstadt;Jahr;487,505;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;3020;1865;;4511,76
Hauptstraße 52;Campus Altstadt;Jahr;199,186;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;3030;1709;;2100,52
Akademiestraße 3;Campus Altstadt;Jahr;186,473;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;3040;1875;;1760,64
Akademiestraße 3 | Plöck 57;Campus Altstadt;Jahr;448,33;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;3051;1892;;3134,37
Akademiestraße 4;Campus Altstadt;Jahr;335,44;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;3060;1986;;5226,86
Akademiestraße 4;Campus Altstadt;Jahr;452,753;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;3060;1986;;5226,86
Plöck 55;Campus Altstadt;Jahr;204,548;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;3070;1856;;2379,03
Friedrich-Ebert-Platz 2;Campus Altstadt;Jahr;293,52;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;3080;1929;;2383,88
Friedrich-Ebert-Anlage 6-10;Campus Altstadt;Jahr;780,267;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;3091;1987;;1287,59
Friedrich-Ebert-Anlage 8;Campus Altstadt;Jahr;194,399;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;3091;1987;;1287,59
Friedrich-Ebert-Anlage 4;Campus Altstadt;Jahr;12,512;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;3094;;;648,75
Friedrich-Ebert-Anlage 4;Campus Altstadt;Jahr;96,9;MWh;Wärme;Haisch Mineralöle;3094;;;648,75
Plöck 79;Campus Altstadt;Jahr;203,7;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;3120;1846;;2115,97
Friedrich-Ebert-Anage 62;Campus Altstadt;Jahr;14,621;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;3131;;;690,06
Friedrich-Ebert-Anlage 62;Campus Altstadt;Jahr;2,04;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;3131;;;690,06
Friedrich-Ebert-Anlage 62;Campus Altstadt;Jahr;0,424;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;3131;;;690,06
Friedrich-Ebert-Anlage 62;Campus Altstadt;Jahr;85,04444444;MWh;Wärme;Haisch Mineralöle;3131;;;690,06
Voßstraße 2;Campus Bergheim;Jahr;32,56837696;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;4110;1878;;1069,94
Voßstraße 2;Campus Bergheim;Jahr;5,002513089;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;4110;1878;;1069,94
Voßstraße 2;Campus Bergheim;Jahr;2,967329843;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;4120;1876;;2025,06
Voßstraße 2;Campus Bergheim;Jahr;9,673821989;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;4130;1876;;2047,7
Voßstraße 2;Campus Bergheim;Jahr;407,0115183;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;4131;1970;;4736,3
Bergheimer Straße 20;Campus Bergheim;Jahr;122,2193613;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;4140;1877;;4789,84
Bergheimer Straße 20;Campus Bergheim;Jahr;421,97;MWh;Wärme;Universitätsklinikum Heidelberg;4140;1877;;4789,84
Bergheimer Straße 58;Campus Bergheim;Jahr;374,9755497;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;4311;1929;;1766,76
Bergheimer Straße 58;Campus Bergheim;Jahr;1218,6;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;4311;1929;;1766,76
Voßstraße 2 (4370);Campus Bergheim;Jahr;74,7;MWh;Wärme;Universitätsklinikum Heidelberg;4370;1874;;434,5
Voßstraße 2 (4400);Campus Bergheim;Jahr;268;MWh;Wärme;Universitätsklinikum Heidelberg;4400;1875;;2784,06
Voßstraße 2 (4410);Campus Bergheim;Jahr;149,36;MWh;Wärme;Universitätsklinikum Heidelberg;4410;1872;;996,61
Schillerstraße 4;Campus Bergheim;Jahr;2,967;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;5060;;;179,88
Berliner Straße 41-49;Campus INF;Jahr;12,08105;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;6205;2014;;17613,38
Berliner Straße 41-49;Campus INF;Jahr;10,5862;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;6205;2014;;17613,38
Im Neuenheimer Feld 205;Campus INF;Jahr;473,15;MWh;Wärme;E.ON Energy Solutions GmbH;6205;2014;;17613,38
Im Neuenheimer Feld 205;Campus INF;Jahr;1729,711581;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6205;2014;;17613,38
Im Neuenheimer Feld 205;Campus INF;Jahr;614,1;MWh;Kälte;E.ON Energy Solutions GmbH;6205;2014;;17613,38
Im Neuenheimer Feld 225;Campus INF;Jahr;898,6;MWh;Wärme;E.ON Energy Solutions GmbH;6225;2016;;6077,97
Im Neuenheimer Feld 225;Campus INF;Jahr;470,5;MWh;Kälte;E.ON Energy Solutions GmbH;6225;2016;;6077,97
Im Neuenheimer Feld 226;Campus INF;Jahr;877,294;MWh;Wärme;E.ON Energy Solutions GmbH;6226;2011;;9895,4
Im Neuenheimer Feld 226;Campus INF;Jahr;743,157;MWh;Kälte;E.ON Energy Solutions GmbH;6226;2011;;9895,4
Im Neuenheimer Feld 227;Campus INF;Jahr;1700,182;MWh;Wärme;E.ON Energy Solutions GmbH;6227;2002;;15285,02
Im Neuenheimer Feld 227;Campus INF;Jahr;5354,88929;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6227;2002;;15285,02
Im Neuenheimer Feld 227;Campus INF;Jahr;1590,894;MWh;Kälte;E.ON Energy Solutions GmbH;6227;2002;;15285,02
;Campus INF;Jan;38;m3;Trinkwasser;;6227;2002;;15285,02
;Campus INF;Feb;40;m3;Trinkwasser;;6227;2002;;15285,02
;Campus INF;Mrz;50;m3;Trinkwasser;;6227;2002;;15285,02
;Campus INF;Apr;46;m3;Trinkwasser;;6227;2002;;15285,02
;Campus INF;Mai;47;m3;Trinkwasser;;6227;2002;;15285,02
;Campus INF;Jun;55;m3;Trinkwasser;;6227;2002;;15285,02
;Campus INF;Jul;68;m3;Trinkwasser;;6227;2002;;15285,02
;Campus INF;Aug;62;m3;Trinkwasser;;6227;2002;;15285,02
;Campus INF;Sep;65;m3;Trinkwasser;;6227;2002;;15285,02
;Campus INF;Okt;72;m3;Trinkwasser;;6227;2002;;15285,02
;Campus INF;Nov;41;m3;Trinkwasser;;6227;2002;;15285,02
;Campus INF;Dez;34;m3;Trinkwasser;;6227;2002;;15285,02
;Campus INF;Jan;61,7;m3;Brauchwasser;;6227;2002;;15285,02
;Campus INF;Feb;49,1;m3;Brauchwasser;;6227;2002;;15285,02
;Campus INF;Mrz;283,8;m3;Brauchwasser;;6227;2002;;15285,02
;Campus INF;Apr;62,6;m3;Brauchwasser;;6227;2002;;15285,02
;Campus INF;Mai;51,8;m3;Brauchwasser;;6227;2002;;15285,02
;Campus INF;Jun;119,9;m3;Brauchwasser;;6227;2002;;15285,02
;Campus INF;Jul;66,4;m3;Brauchwasser;;6227;2002;;15285,02
;Campus INF;Aug;51,7;m3;Brauchwasser;;6227;2002;;15285,02
;Campus INF;Sep;58,6;m3;Brauchwasser;;6227;2002;;15285,02
;Campus INF;Okt;178;m3;Brauchwasser;;6227;2002;;15285,02
;Campus INF;Nov;158,5;m3;Brauchwasser;;6227;2002;;15285,02
;Campus INF;Dez;148,6;m3;Brauchwasser;;6227;2002;;15285,02
;Campus INF;Jan;100,818;MWh;Kälte;;6227;2002;;15285,02
;Campus INF;Feb;105,296;MWh;Kälte;;6227;2002;;15285,02
;Campus INF;Mrz;121,868;MWh;Kälte;;6227;2002;;15285,02
;Campus INF;Apr;119,075;MWh;Kälte;;6227;2002;;15285,02
;Campus INF;Mai;130,366;MWh;Kälte;;6227;2002;;15285,02
;Campus INF;Jun;173,272;MWh;Kälte;;6227;2002;;15285,02
;Campus INF;Jul;164,656;MWh;Kälte;;6227;2002;;15285,02
;Campus INF;Aug;166,043;MWh;Kälte;;6227;2002;;15285,02
;Campus INF;Sep;144,012;MWh;Kälte;;6227;2002;;15285,02
;Campus INF;Okt;123,832;MWh;Kälte;;6227;2002;;15285,02
;Campus INF;Nov;123,944;MWh;Kälte;;6227;2002;;15285,02
;Campus INF;Dez;117,719;MWh;Kälte;;6227;2002;;15285,02
;Campus INF;Jan;282,868;MWh;Wärme;;6227;2002;;15285,02
;Campus INF;Feb;215,866;MWh;Wärme;;6227;2002;;15285,02
;Campus INF;Mrz;198,151;MWh;Wärme;;6227;2002;;15285,02
;Campus INF;Apr;160,799;MWh;Wärme;;6227;2002;;15285,02
;Campus INF;Mai;114,029;MWh;Wärme;;6227;2002;;15285,02
;Campus INF;Jun;33,208;MWh;Wärme;;6227;2002;;15285,02
;Campus INF;Jul;36,867;MWh;Wärme;;6227;2002;;15285,02
;Campus INF;Aug;43,444;MWh;Wärme;;6227;2002;;15285,02
;Campus INF;Sep;31,742;MWh;Wärme;;6227;2002;;15285,02
;Campus INF;Okt;122,75;MWh;Wärme;;6227;2002;;15285,02
;Campus INF;Nov;205,171;MWh;Wärme;;6227;2002;;15285,02
;Campus INF;Dez;237,559;MWh;Wärme;;6227;2002;;15285,02
;Campus INF;Jan;258,176;MWh;AV Strom;;6227;2002;;15285,02
;Campus INF;Feb;267,811;MWh;AV Strom;;6227;2002;;15285,02
;Campus INF;Mrz;288,682;MWh;AV Strom;;6227;2002;;15285,02
;Campus INF;Apr;264,804;MWh;AV Strom;;6227;2002;;15285,02
;Campus INF;Mai;261,082;MWh;AV Strom;;6227;2002;;15285,02
;Campus INF;Jun;250,862;MWh;AV Strom;;6227;2002;;15285,02
;Campus INF;Jul;256,053;MWh;AV Strom;;6227;2002;;15285,02
;Campus INF;Aug;266,335;MWh;AV Strom;;6227;2002;;15285,02
;Campus INF;Sep;245,861;MWh;AV Strom;;6227;2002;;15285,02
;Campus INF;Okt;259,131;MWh;AV Strom;;6227;2002;;15285,02
;Campus INF;Nov;264,772;MWh;AV Strom;;6227;2002;;15285,02
;Campus INF;Dez;262,021;MWh;AV Strom;;6227;2002;;15285,02
;Campus INF;Jan;10,43;MWh;SV Strom;;6227;2002;;15285,02
;Campus INF;Feb;9,567;MWh;SV Strom;;6227;2002;;15285,02
;Campus INF;Mrz;9,982;MWh;SV Strom;;6227;2002;;15285,02
;Campus INF;Apr;11,008;MWh;SV Strom;;6227;2002;;15285,02
;Campus INF;Mai;10,882;MWh;SV Strom;;6227;2002;;15285,02
;Campus INF;Jun;10,708;MWh;SV Strom;;6227;2002;;15285,02
;Campus INF;Jul;11,238;MWh;SV Strom;;6227;2002;;15285,02
;Campus INF;Aug;11,612;MWh;SV Strom;;6227;2002;;15285,02
;Campus INF;Sep;11,238;MWh;SV Strom;;6227;2002;;15285,02
;Campus INF;Okt;10,643;MWh;SV Strom;;6227;2002;;15285,02
;Campus INF;Nov;10,844;MWh;SV Strom;;6227;2002;;15285,02
;Campus INF;Dez;12,112;MWh;SV Strom;;6227;2002;;15285,02
Im Neuenheimer Feld 229;Campus INF;Jahr;1344,717;MWh;Wärme;E.ON Energy Solutions GmbH;6229;1998;;211,32
Im Neuenheimer Feld 229;Campus INF;Jahr;1471,570325;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6229;1998;;211,32
Im Neuenheimer Feld 229;Campus INF;Jahr;1466,6;MWh;Kälte;E.ON Energy Solutions GmbH;6229;1998;;211,32
Im Neuenheimer Feld 229;Campus INF;Jahr;16,867;MWh;Wärme;Universitätsklinikum Heidelberg;6229;1998;;211,32
Im Neuenheimer Feld 230;Campus INF;Jahr;1624,55;MWh;Wärme;E.ON Energy Solutions GmbH;6230;1965;;4307,31
Im Neuenheimer Feld 230;Campus INF;Jahr;361,3642618;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6230;1965;;4307,31
Im Neuenheimer Feld 230;Campus INF;Jahr;741,964;MWh;Kälte;E.ON Energy Solutions GmbH;6230;1965;;4307,31
Im Neuenheimer Feld 234;Campus INF;Jahr;2315,243;MWh;Wärme;E.ON Energy Solutions GmbH;6234;1966;;5351,07
Im Neuenheimer Feld 234;Campus INF;Jahr;277,8396126;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6234;1966;;5351,07
Im Neuenheimer Feld 236;Campus INF;Jahr;649,4835602;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6236;1966;;5416,64
Im Neuenheimer Feld 252;Campus INF;Jahr;607,5390995;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6252;1961;;5127,36
Im Neuenheimer Feld 253;Campus INF;Jahr;800,21;MWh;Wärme;E.ON Energy Solutions GmbH;6252;1961;;5127,36
Im Neuenheimer Feld 253/254;Campus INF;Jahr;460,6617801;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6252;1961;;5127,36
Im Neuenheimer Feld 253/254;Campus INF;Jahr;259,7;MWh;Kälte;E.ON Energy Solutions GmbH;6252;1961;;5127,36
Im Neuenheimer Feld 267;Campus INF;Jahr;1047,816;MWh;Wärme;E.ON Energy Solutions GmbH;6267;2007;;9171,83
Im Neuenheimer Feld 267;Campus INF;Jahr;2171,093403;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6267;2007;;9171,83
Im Neuenheimer Feld 267;Campus INF;Jahr;1177,933;MWh;Kälte;E.ON Energy Solutions GmbH;6267;2007;;9171,83
Im Neuenheimer Feld 269;Campus INF;Jahr;189,21;MWh;Wärme;E.ON Energy Solutions GmbH;6269;1992;;1355,48
Im Neuenheimer Feld 269;Campus INF;Jahr;8,123;MWh;Wärme;E.ON Energy Solutions GmbH;6269;1992;;1355,48
Im Neuenheimer Feld 269;Campus INF;Jahr;197,8635707;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6269;1992;;1355,48
Im Neuenheimer Feld 270;Campus INF;Jahr;9000,386;MWh;Wärme;E.ON Energy Solutions GmbH;6270;1954;;8750,1
Im Neuenheimer Feld 270;Campus INF;Jahr;3289,800722;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6270;1954;;8750,1
Im Neuenheimer Feld 270;Campus INF;Jahr;725,9;MWh;Kälte;E.ON Energy Solutions GmbH;6270;1954;;8750,1
Im Neuenheimer Feld 270;Campus INF;Jahr;4,84;MWh;Wärme;Universitätsklinikum Heidelberg;6270;1954;;8750,1
Im Neuenheimer Feld 282;Campus INF;Jahr;767,519;MWh;Wärme;E.ON Energy Solutions GmbH;6282;1985;;10766,11
Im Neuenheimer Feld 282;Campus INF;Jahr;555,8127455;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6282;1985;;10766,11
Im Neuenheimer Feld 282;Campus INF;Jahr;425,554;MWh;Kälte;E.ON Energy Solutions GmbH;6282;1985;;10766,11
Im Neuenheimer Feld 293;Campus INF;Jahr;5,762303665;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6293;1969;;491,55
Im Neuenheimer Feld 294;Campus INF;Jahr;152,821;MWh;Wärme;E.ON Energy Solutions GmbH;6294;;;
Im Neuenheimer Feld 294;Campus INF;Jahr;0,881560209;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6294;;;
Im Neuenheimer Feld 329;Campus INF;Jahr;494,3;MWh;Wärme;E.ON Energy Solutions GmbH;6329;2011;;3901,44
Im Neuenheimer Feld 329;Campus INF;Jahr;452,9790576;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6329;2011;;3901,44
Im Neuenheimer Feld 329;Campus INF;Jahr;324,5;MWh;Kälte;E.ON Energy Solutions GmbH;6329;2011;;3901,44
Im Neuenheimer Feld 330;Campus INF;Jahr;759,125;MWh;Wärme;E.ON Energy Solutions GmbH;6330;1969;;6158,64
Im Neuenheimer Feld 330;Campus INF;Jahr;177,6462304;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6330;1969;;6158,64
Im Neuenheimer Feld 340;Campus INF;Jahr;2742,3;MWh;Wärme;E.ON Energy Solutions GmbH;6340;1915;;2758
Im Neuenheimer Feld 350;Campus INF;Jahr;20,48272251;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6350;2002;;642,56
Im Neuenheimer Feld 350;Campus INF;Jahr;24,45;MWh;Kälte;Universitätsklinikum Heidelberg;6350;2002;;642,56
Im Neuenheimer Feld 350;Campus INF;Jahr;106,03;MWh;Wärme;Universitätsklinikum Heidelberg;6350;2002;;642,56
Im Neuenheimer Feld 360;Campus INF;Jahr;912,872;MWh;Wärme;E.ON Energy Solutions GmbH;6360;1960;;3608,08
Im Neuenheimer Feld 360;Campus INF;Jahr;982,6119267;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6360;1960;;3608,08
Im Neuenheimer Feld 360;Campus INF;Jahr;314,646;MWh;Kälte;E.ON Energy Solutions GmbH;6360;1960;;3608,08
Im Neuenheimer Feld 370;Campus INF;Jahr;6,855;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;6370;;;3682,12
Im Neuenheimer Feld 501;Campus INF;Jahr;620,009;MWh;Wärme;E.ON Energy Solutions GmbH;6501;1964;;1190,95
Im Neuenheimer Feld 507;Campus INF;Jahr;69,67434555;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6507;2017;;12901,52
Im Neuenheimer Feld 700;Campus INF;Jahr;1448,23;MWh;Wärme;E.ON Energy Solutions GmbH;6700;1966;;6558,29
Im Neuenheimer Feld 700;Campus INF;Jahr;435,448267;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6700;1966;;6558,29
Im Neuenheimer Feld 701;Campus INF;Jahr;97,01111111;MWh;Wärme;Haisch Mineralöle;6702;;;
Mönchhofstraße 14;Campus INF;Jahr;304,254;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;7020;1962;;958,6
Mönchhofstraße 12;Campus INF;Jahr;53,865;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;7021;1883;;737,3
Weberstraße 13;Campus INF;Jahr;3,354;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;7030;;;229,77
Berliner Straße 48;Campus INF;Jahr;34,548;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;7050;1953;;2184,35
Berliner Straße 48;Campus INF;Jahr;215,115;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;7050;1953;;2184,35
Philosophenweg 12;Campus INF;Jahr;395,878;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;8010;1913;;5870,91
Philosophenweg 12;Campus INF;Jahr;857,025;MWh;Wärme;Energie Südbayern GmbH;8010;1913;;5870,91
Albert-Überle-Straße 3-5;Campus INF;Jahr;346,77;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;8021;1963;;271,36
Albert-Überle-Straße 2;Campus INF;Jahr;63,717;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;8030;1912;;654,01
Philosophenweg 16;Campus INF;Jahr;167,681;MWh;Wärme;Energie Südbayern GmbH;8050;1913;;1062,86
Philosophenweg 19;Campus INF;Jahr;42,837;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;8080;1924;;943,5
Philosophenweg 19;Campus INF;Jahr;93,313;MWh;Wärme;Energie Südbayern GmbH;8080;1924;;943,5
Ziegelhäuser Landstraße 17;Campus INF;Jahr;22,441;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;8140;1733;;1238,7
Ziegelhäuser Landstraße 17;Campus INF;Jahr;251,7222222;MWh;Wärme;Haisch Mineralöle;8140;1733;;1238,7
Notstromaggregat Grabengasse 14-16;Campus Altstadt;Jahr;0,24;MWh;Öl;Haisch Mineralöle;Notstrom 2100;1978;;
Notstromaggregat Mathematikon;Campus INF;Jahr;18,05555556;MWh;Öl;Haisch Mineralöle;Notstrom 6205;2014;;
Notstromaggregat INF 227;Campus INF;Jahr;6,377777778;MWh;Öl;Haisch Mineralöle;Notstrom 6227;2002;;
Notstromaggregat Chemische Institute;Campus INF;Jahr;19,01111111;MWh;Öl;Haisch Mineralöle;Notstrom 6270;1954;;
Notstromaggregat Theoretikum;Campus INF;Jahr;13,46621778;MWh;Öl;Haisch Mineralöle;Notstrom 6346;1974;;
