Art;Stück
Desktop-Pcs;716
Handys;81
Kopierpapier (Blauer Engel);2290500
Kopierpapier (Eco Label);4492500
Kopierpapier (Keine Angabe);2764000
Monitore;762
Notebooks;729
Tablets;105
Toilettenpapier;247782
