Adresse;Campus;Zeitraum;Menge;Einheit;Art;Versorger;Gebäude;Baujahr;Sanierung;Nettogrundfläche
Hauptstraße 207;Campus Altstadt;Jahr;283,042;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;1010;1742;;3551,99
Hauptstraße 207-209;Campus Altstadt;Jahr;299,04;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;1010;1742;;3551,99
Kalrstraße 2;Campus Altstadt;Jahr;305,68;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;1030;1744;;1082,81
;;;;;;;;;;
Kalrstraße 16;Campus Altstadt;Jahr;125,333;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;1040;1964;;1390,16
Hauptstraße 216;Campus Altstadt;Jahr;1,643;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;1050;;;157,64
Hauptstraße 216;Campus Altstadt;Jahr;0,149;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;1050;;;157,64
Theoretikum 70%;Campus INF;Jahr;11168,90015;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;1054;;;
Trafostation 1/5;Campus INF;Jahr;66,81434555;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;1055;;;
Plankengasse 3;Campus Altstadt;Jahr;130,734;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;1060;;;1227,92
Trafostation 2/0;Campus INF;Jahr;2938,944021;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;1063;;;
Trafostation 1/6;Campus INF;Jahr;4363,666457;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;1067;;;
;;;;;;;;;;
Hauptstraße 231;Campus Altstadt;Jahr;2,667;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;1073;;;299,05
Theoretikum I;Campus INF;Jahr;5841,941;MWh;Kälte;E.ON Energy Solutions GmbH;1079;;;
Hauptstraße 242;Campus Altstadt;Jahr;14,236;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;1080;;;857,25
Hauptstraße 242;Campus Altstadt;Jahr;98,852;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;1080;;;857,25
Theoretikum II;Campus INF;Jahr;708,685;MWh;Kälte;E.ON Energy Solutions GmbH;1080;;;857,25
Theoretikum 70%;Campus INF;Jahr;17615,839;MWh;Wärme;E.ON Energy Solutions GmbH;1134;;;
Theoretikum;Campus INF;Jahr;1387,649;MWh;Wärme;E.ON Energy Solutions GmbH;1138;;;
Theoretikum;Campus INF;Jahr;0,942;MWh;Wärme;Universitätsklinikum Heidelberg;1161;;;
Kisselgasse 1;Campus Altstadt;Jahr;125,3;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;1200;1974;;3783,77
Marstallhof 1;Campus Altstadt;Jahr;792,393;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;2040;1965;;6842,52
Marstallhof 4;Campus Altstadt;Jahr;1111,83;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2040;1965;;6842,52
Fischmarkt 2;Campus Altstadt;Jahr;4,916;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;2065;;;1487,35
Marstallstraße 6;Campus Altstadt;Jahr;185,181;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2070;1826;;2436,48
Grabengasse 1;Campus Altstadt;Jahr;473,683;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2090;1718;;2385,02
Grabengasse 14;Campus Altstadt;Jahr;1980,726;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;2100;1978;;23528,62
Grabengasse 14;Campus Altstadt;Jahr;1477,1;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2100;1978;;23528,62
Sandgasse 1;Campus Altstadt;Jahr;0,125;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;2101;1977;;1989,9
Plöck 107-109;Campus Altstadt;Jahr;757,38;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2130;1905;;11729,98
Augustinergasse 7;Campus Altstadt;Jahr;395,382;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2140;1713;;1064,49
Grabengasse 3;Campus Altstadt;Jahr;1568,912;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;2170;1931;;12336,86
Grabengasse 3-5;Campus Altstadt;Jahr;1343,38;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2171;1990;;2948,06
Schurmanstraße 2;Campus Bergheim;Jahr;8,973;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;2190;1716;;2057,48
Schulgasse 6;Campus Altstadt;Jahr;321,272;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2190;1716;;2057,48
Seminarstraße 2;Campus Altstadt;Jahr;668,09;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2200;1752;;6975,87
Hauptstraße 120;Campus Altstadt;Jahr;3,532;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;2205;;;955,81
Hauptstraße 120;Campus Altstadt;Jahr;19,516;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;2205;;;955,81
Hauptstraße 120;Campus Altstadt;Jahr;85,913;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2205;;;955,81
Hauptstraße 113;Campus Altstadt;Jahr;1,75;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;2206;;;212
Seminarstraße 3;Campus Altstadt;Jahr;440,19;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2210;1851;;4808,43
Kettengasse 12;Campus Altstadt;Jahr;387,26;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2220;1716;;3791,94
Seminarstraße 4;Campus Altstadt;Jahr;198,67;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;2230;1858;;2371,97
Unter der Schanz 1;Campus Altstadt;Jahr;1,194;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;2270;;;624,3
;;;;;;;;;;
;;;;;;;;;;
Königstuhl 11;Campus Altstadt;Jahr;10,508;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;2805;1914;;735,88
Königstuhl 11;Campus Altstadt;Jahr;2,936;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;2805;1914;;735,88
;;;;;;;;;;
Königstuhl 12;Campus Altstadt;Jahr;110,788;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;2805;1914;;735,88
Königstuhl;Campus Altstadt;Jahr;431,39;MWh;Wärme;Haisch Mineralöle;2805;1914;;735,88
Brunnengasse 1;Campus Altstadt;Jahr;23,544;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;3010;1850;;3359,24
Hauptstraße 47;Campus Altstadt;Jahr;342,05;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;3020;1865;;4511,76
Hauptstraße 47;Campus Altstadt;Jahr;388,234;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;3020;1865;;4511,76
Hauptstraße 52;Campus Altstadt;Jahr;201,844;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;3030;1709;;2100,52
Akademiestraße 3;Campus Altstadt;Jahr;205,984;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;3040;1875;;1760,64
Akademiestraße 3 | Plöck 57;Campus Altstadt;Jahr;362,77;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;3051;1892;;3134,37
Akademiestraße 4;Campus Altstadt;Jahr;482,958;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;3060;1986;;5226,86
Akademeistraße 4;Campus Altstadt;Jahr;268,38;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;3060;1986;;5226,86
Plöck 55;Campus Altstadt;Jahr;161,28;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;3070;1856;;2379,03
Friedrich-Ebert-Platz 2;Campus Altstadt;Jahr;294,03;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;3080;1929;;2383,88
Friedrich-Ebert-Anlage 8;Campus Altstadt;Jahr;206,719;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;3091;1987;;1287,59
Friedrich-Ebert-Anlage 6-10;Campus Altstadt;Jahr;652,775;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;3091;1987;;1287,59
Friedrich-Ebert-Anlage 4;Campus Altstadt;Jahr;10,938;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;3094;;;648,75
Friedrich-Ebert-Anlage 4;Campus Altstadt;Jahr;149,77;MWh;Wärme;Haisch Mineralöle;3094;;;648,75
Plöck 79;Campus Altstadt;Jahr;172,45;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;3120;1846;;2115,97
Friedrich-Ebert-Anage 62;Campus Altstadt;Jahr;13,586;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;3131;;;690,06
Friedrich-Ebert-Anlage 62;Campus Altstadt;Jahr;2,301;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;3131;;;690,06
Friedrich-Ebert-Anlage 62;Campus Altstadt;Jahr;0,492;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;3131;;;690,06
Friedrich-Ebert-Anlage 62;Campus Altstadt;Jahr;79,02;MWh;Wärme;Haisch Mineralöle;3131;;;690,06
Voßstraße 2;Campus Bergheim;Jahr;27,4739267;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;4110;1878;;1069,94
Voßstraße 2;Campus Bergheim;Jahr;4,219696335;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;4110;1878;;1069,94
Voßstraße 2;Campus Bergheim;Jahr;3,220418848;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;4120;1876;;2025,06
Voßstraße 2;Campus Bergheim;Jahr;8,963874345;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;4130;1876;;2047,7
Voßstraße 2;Campus Bergheim;Jahr;438,2783351;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;4131;1970;;4736,3
Campus Bergheimer Straße 20;Campus Bergheim;Jahr;122,8179476;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;4140;1877;;4789,84
Campus Bergheimer Straße 20;Campus Bergheim;Jahr;363,9;MWh;Wärme;Universitätsklinikum Heidelberg;4140;1877;;4789,84
Campus Bergheimer Straße 58;Campus Bergheim;Jahr;411,1332356;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;4311;1929;;1766,76
Campus Bergheimer Straße 58;Campus Bergheim;Jahr;1169,4;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;4311;1929;;1766,76
Voßstraße 2 (4370);Campus Bergheim;Jahr;74,4;MWh;Wärme;Universitätsklinikum Heidelberg;4370;1874;;434,5
Voßstraße 2 (4400);Campus Bergheim;Jahr;257,92;MWh;Wärme;Universitätsklinikum Heidelberg;4400;1875;;2784,06
Voßstraße 2 (4410);Campus Bergheim;Jahr;116,17;MWh;Wärme;Universitätsklinikum Heidelberg;4410;1872;;996,61
Schillerstraße 4;Campus Bergheim;Jahr;2,964;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;5060;;;179,88
Berliner Straße 41-49;Campus INF;Jahr;25,7615;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;6205;2014;;17613,38
Berliner Straße 41-49;Campus INF;Jahr;23,177;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;6205;2014;;17613,38
Berliner Straße 41-49;Campus INF;Jahr;31,85;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;6205;2014;;17613,38
Berliner Straße 41-49;Campus INF;Jahr;1,017;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;6205;2014;;17613,38
;;;;;;;;;;
;;;;;;;;;;
Im Neuenheimer Feld 205;Campus INF;Jahr;391,422;MWh;Wärme;E.ON Energy Solutions GmbH;6205;2014;;17613,38
Im Neuenheimer Feld 205;Campus INF;Jahr;1555,090906;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6205;2014;;17613,38
Im Neuenheimer Feld 205;Campus INF;Jahr;808,5;MWh;Kälte;E.ON Energy Solutions GmbH;6205;2014;;17613,38
Im Neuenheimer Feld 225;Campus INF;Jahr;790,97;MWh;Wärme;E.ON Energy Solutions GmbH;6225;2016;;6077,97
Im Neuenheimer Feld 225;Campus INF;Jahr;479,866;MWh;Kälte;E.ON Energy Solutions GmbH;6225;2016;;6077,97
Im Neuenheimer Feld 226;Campus INF;Jahr;678,713;MWh;Wärme;E.ON Energy Solutions GmbH;6226;2011;;9895,4
Im Neuenheimer Feld 226;Campus INF;Jahr;753,863;MWh;Kälte;E.ON Energy Solutions GmbH;6226;2011;;9895,4
Im Neuenheimer Feld 227;Campus INF;Jahr;1416,74;MWh;Wärme;E.ON Energy Solutions GmbH;6227;2002;;15285,02
Im Neuenheimer Feld 227;Campus INF;Jahr;5043,803007;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6227;2002;;15285,02
Im Neuenheimer Feld 227;Campus INF;Jahr;1579,437;MWh;Kälte;E.ON Energy Solutions GmbH;6227;2002;;15285,02
;Campus INF;Jan;63;m3;Trinkwasser;;6227;2002;;15285,02
;Campus INF;Feb;46;m3;Trinkwasser;;6227;2002;;15285,02
;Campus INF;Mrz;33;m3;Trinkwasser;;6227;2002;;15285,02
;Campus INF;Apr;16;m3;Trinkwasser;;6227;2002;;15285,02
;Campus INF;Mai;24;m3;Trinkwasser;;6227;2002;;15285,02
;Campus INF;Jun;33;m3;Trinkwasser;;6227;2002;;15285,02
;Campus INF;Jul;34;m3;Trinkwasser;;6227;2002;;15285,02
;Campus INF;Aug;37;m3;Trinkwasser;;6227;2002;;15285,02
;Campus INF;Sep;42;m3;Trinkwasser;;6227;2002;;15285,02
;Campus INF;Okt;42;m3;Trinkwasser;;6227;2002;;15285,02
;Campus INF;Nov;39;m3;Trinkwasser;;6227;2002;;15285,02
;Campus INF;Dez;39;m3;Trinkwasser;;6227;2002;;15285,02
;Campus INF;Jan;133,3;m3;Brauchwasser;;6227;2002;;15285,02
;Campus INF;Feb;100,8;m3;Brauchwasser;;6227;2002;;15285,02
;Campus INF;Mrz;59,5;m3;Brauchwasser;;6227;2002;;15285,02
;Campus INF;Apr;27,5;m3;Brauchwasser;;6227;2002;;15285,02
;Campus INF;Mai;97,4;m3;Brauchwasser;;6227;2002;;15285,02
;Campus INF;Jun;127,2;m3;Brauchwasser;;6227;2002;;15285,02
