Adresse;Campus;Zeitraum;Menge;Einheit;Art;Versorger;Gebäude;Baujahr;Sanierung;Nettogrundfläche
;Campus INF;Jul;65;m3;Brauchwasser;;6227;2002;;15285,02
;Campus INF;Aug;635,9;m3;Brauchwasser;;6227;2002;;15285,02
;Campus INF;Sep;584,4;m3;Brauchwasser;;6227;2002;;15285,02
;Campus INF;Okt;118;m3;Brauchwasser;;6227;2002;;15285,02
;Campus INF;Nov;84,8;m3;Brauchwasser;;6227;2002;;15285,02
;Campus INF;Dez;46,8;m3;Brauchwasser;;6227;2002;;15285,02
;Campus INF;Jan;109,205;MWh;Kälte;;6227;2002;;15285,02
;Campus INF;Feb;105,574;MWh;Kälte;;6227;2002;;15285,02
;Campus INF;Mrz;110,301;MWh;Kälte;;6227;2002;;15285,02
;Campus INF;Apr;114,402;MWh;Kälte;;6227;2002;;15285,02
;Campus INF;Mai;131,43;MWh;Kälte;;6227;2002;;15285,02
;Campus INF;Jun;150,327;MWh;Kälte;;6227;2002;;15285,02
;Campus INF;Jul;174,856;MWh;Kälte;;6227;2002;;15285,02
;Campus INF;Aug;183,889;MWh;Kälte;;6227;2002;;15285,02
;Campus INF;Sep;151,257;MWh;Kälte;;6227;2002;;15285,02
;Campus INF;Okt;120,661;MWh;Kälte;;6227;2002;;15285,02
;Campus INF;Nov;117,954;MWh;Kälte;;6227;2002;;15285,02
;Campus INF;Dez;109,574;MWh;Kälte;;6227;2002;;15285,02
;Campus INF;Jan;227,878;MWh;Wärme;;6227;2002;;15285,02
;Campus INF;Feb;173,603;MWh;Wärme;;6227;2002;;15285,02
;Campus INF;Mrz;160,47;MWh;Wärme;;6227;2002;;15285,02
;Campus INF;Apr;70,897;MWh;Wärme;;6227;2002;;15285,02
;Campus INF;Mai;73,843;MWh;Wärme;;6227;2002;;15285,02
;Campus INF;Jun;40,664;MWh;Wärme;;6227;2002;;15285,02
;Campus INF;Jul;31,439;MWh;Wärme;;6227;2002;;15285,02
;Campus INF;Aug;29,653;MWh;Wärme;;6227;2002;;15285,02
;Campus INF;Sep;48,682;MWh;Wärme;;6227;2002;;15285,02
;Campus INF;Okt;119,36;MWh;Wärme;;6227;2002;;15285,02
;Campus INF;Nov;191,984;MWh;Wärme;;6227;2002;;15285,02
;Campus INF;Dez;248,267;MWh;Wärme;;6227;2002;;15285,02
;Campus INF;Mai;10,697;MWh;SV Strom;;6227;2002;;15285,02
;Campus INF;Jun;6,651;MWh;SV Strom;;6227;2002;;15285,02
;Campus INF;Jul;6,866;MWh;SV Strom;;6227;2002;;15285,02
;Campus INF;Aug;6,81;MWh;SV Strom;;6227;2002;;15285,02
;Campus INF;Sep;6,577;MWh;SV Strom;;6227;2002;;15285,02
;Campus INF;Okt;6,65;MWh;SV Strom;;6227;2002;;15285,02
;Campus INF;Nov;7,926;MWh;SV Strom;;6227;2002;;15285,02
;Campus INF;Dez;10,316;MWh;SV Strom;;6227;2002;;15285,02
;Campus INF;Mai;244,474;MWh;AV Strom;;6227;2002;;15285,02
;Campus INF;Jun;236,102;MWh;AV Strom;;6227;2002;;15285,02
;Campus INF;Jul;249,404;MWh;AV Strom;;6227;2002;;15285,02
;Campus INF;Aug;240,337;MWh;AV Strom;;6227;2002;;15285,02
;Campus INF;Sep;248,012;MWh;AV Strom;;6227;2002;;15285,02
;Campus INF;Okt;254,665;MWh;AV Strom;;6227;2002;;15285,02
;Campus INF;Nov;258,74;MWh;AV Strom;;6227;2002;;15285,02
;Campus INF;Dez;253,801;MWh;AV Strom;;6227;2002;;15285,02
Im Neuenheimer Feld 229;Campus INF;Jahr;1274,41;MWh;Wärme;E.ON Energy Solutions GmbH;6229;1998;;211,32
Im Neuenheimer Feld 229;Campus INF;Jahr;1461,984345;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6229;1998;;211,32
Im Neuenheimer Feld 229;Campus INF;Jahr;1656,618;MWh;Kälte;E.ON Energy Solutions GmbH;6229;1998;;211,32
Im Neuenheimer Feld 229;Campus INF;Jahr;10,299;MWh;Wärme;Universitätsklinikum Heidelberg;6229;1998;;211,32
Im Neuenheimer Feld 230;Campus INF;Jahr;1266,45;MWh;Wärme;E.ON Energy Solutions GmbH;6230;1965;;4307,31
Im Neuenheimer Feld 230;Campus INF;Jahr;297,1338534;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6230;1965;;4307,31
Im Neuenheimer Feld 230;Campus INF;Jahr;825,471;MWh;Kälte;E.ON Energy Solutions GmbH;6230;1965;;4307,31
Im Neuenheimer Feld 234;Campus INF;Jahr;1981,307;MWh;Wärme;E.ON Energy Solutions GmbH;6234;1966;;5351,07
Im Neuenheimer Feld 234;Campus INF;Jahr;258,6923455;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6234;1966;;5351,07
Im Neuenheimer Feld 236;Campus INF;Jahr;630,2485864;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6236;1966;;5416,64
Im Neuenheimer Feld 252;Campus INF;Jahr;579,5320523;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6252;1961;;5127,36
Im Neuenheimer Feld 253;Campus INF;Jahr;606,075;MWh;Wärme;E.ON Energy Solutions GmbH;6252;1961;;5127,36
Im Neuenheimer Feld 253/254;Campus INF;Jahr;419,5022827;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6252;1961;;5127,36
Im Neuenheimer Feld 253/254;Campus INF;Jahr;263,8;MWh;Kälte;E.ON Energy Solutions GmbH;6252;1961;;5127,36
Im Neuenheimer Feld 267;Campus INF;Jahr;760,783;MWh;Wärme;E.ON Energy Solutions GmbH;6267;2007;;9171,83
Im Neuenheimer Feld 267;Campus INF;Jahr;2116,289078;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6267;2007;;9171,83
Im Neuenheimer Feld 267;Campus INF;Jahr;1204,915;MWh;Kälte;E.ON Energy Solutions GmbH;6267;2007;;9171,83
Im Neuenheimer Feld 269;Campus INF;Jahr;155,4;MWh;Wärme;E.ON Energy Solutions GmbH;6269;1992;;1355,48
Im Neuenheimer Feld 269;Campus INF;Jahr;9,037;MWh;Wärme;E.ON Energy Solutions GmbH;6269;1992;;1355,48
Im Neuenheimer Feld 269;Campus INF;Jahr;196,9446387;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6269;1992;;1355,48
Im Neuenheimer Feld 270;Campus INF;Jahr;7618,139;MWh;Wärme;E.ON Energy Solutions GmbH;6270;1954;;8750,1
Im Neuenheimer Feld 270;Campus INF;Jahr;3039,215413;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6270;1954;;8750,1
Im Neuenheimer Feld 270;Campus INF;Jahr;766,4;MWh;Kälte;E.ON Energy Solutions GmbH;6270;1954;;8750,1
Im Neuenheimer Feld 270;Campus INF;Jahr;3,32;MWh;Wärme;Universitätsklinikum Heidelberg;6270;1954;;8750,1
Im Neuenheimer Feld 282;Campus INF;Jahr;1348,138;MWh;Wärme;E.ON Energy Solutions GmbH;6282;1985;;10766,11
Im Neuenheimer Feld 282;Campus INF;Jahr;1605,984593;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6282;1985;;10766,11
Im Neuenheimer Feld 282;Campus INF;Jahr;756,172;MWh;Kälte;E.ON Energy Solutions GmbH;6282;1985;;10766,11
;;;;;;;;;;
Im Neuenheimer Feld 293;Campus INF;Jahr;138,018;MWh;Wärme;E.ON Energy Solutions GmbH;6293;1969;;491,55
Im Neuenheimer Feld 293;Campus INF;Jahr;133,2971728;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6293;1969;;491,55
Im Neuenheimer Feld 294;Campus INF;Jahr;305,805;MWh;Wärme;E.ON Energy Solutions GmbH;6294;;;
Im Neuenheimer Feld 294;Campus INF;Jahr;23,865089;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6294;;;
Im Neuenheimer Feld 329;Campus INF;Jahr;256,7;MWh;Wärme;E.ON Energy Solutions GmbH;6329;2011;;3901,44
Im Neuenheimer Feld 329;Campus INF;Jahr;398,1664921;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6329;2011;;3901,44
Im Neuenheimer Feld 329;Campus INF;Jahr;134,7;MWh;Kälte;E.ON Energy Solutions GmbH;6329;2011;;3901,44
Im Neuenheimer Feld 330;Campus INF;Jahr;697,689;MWh;Wärme;E.ON Energy Solutions GmbH;6330;1969;;6158,64
;;;;;;;;;;
Im Neuenheimer Feld 330;Campus INF;Jahr;34,32498429;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6330;1969;;6158,64
Im Neuenheimer Feld 340;Campus INF;Jahr;2332,99;MWh;Wärme;E.ON Energy Solutions GmbH;6340;1915;;2758
Im Neuenheimer Feld 350;Campus INF;Jahr;39,77172775;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6350;2002;;642,56
Im Neuenheimer Feld 350;Campus INF;Jahr;13,08;MWh;Kälte;Universitätsklinikum Heidelberg;6350;2002;;642,56
Im Neuenheimer Feld 350;Campus INF;Jahr;120,14;MWh;Wärme;Universitätsklinikum Heidelberg;6350;2002;;642,56
Im Neuenheimer Feld 360;Campus INF;Jahr;815,5;MWh;Wärme;E.ON Energy Solutions GmbH;6360;1960;;3608,08
Im Neuenheimer Feld 360;Campus INF;Jahr;902,96906;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6360;1960;;3608,08
Im Neuenheimer Feld 360;Campus INF;Jahr;333,732;MWh;Kälte;E.ON Energy Solutions GmbH;6360;1960;;3608,08
Im Neuenheimer Feld 370;Campus INF;Jahr;4,205;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;6370;;;3682,12
Im Neuenheimer Feld 501;Campus INF;Jahr;550,597;MWh;Wärme;E.ON Energy Solutions GmbH;6501;1964;;1190,95
Im Neuenheimer Feld 507;Campus INF;Jahr;59,20837696;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6507;2017;;12901,52
Im Neuenheimer Feld 6700;Campus INF;Jahr;1325,05;MWh;Wärme;E.ON Energy Solutions GmbH;6700;1966;;6558,29
Im Neuenheimer Feld 700;Campus INF;Jahr;420,3414031;MWh;Strom;Klinik EnergieVersorgungs-Service mbH;6700;1966;;6558,29
Im Neuenheimer Feld 700;Campus INF;Jahr;10,57320514;MWh;Strom;Olympiastuetzpunkt / KES;6700;1966;;6558,29
Im Neuenheimer Feld 701;Campus INF;Jahr;78,01;MWh;Wärme;Haisch Mineralöle;6702;;;
Im Neuenheimer Feld 720;Campus INF;Jahr;176,1;MWh;Wärme;E.ON Energy Solutions GmbH;6720;;;5517,66
Mönchhofstraße 14;Campus INF;Jahr;256,52;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;7020;1962;;958,6
Mönchhofstraße 12;Campus INF;Jahr;60,405;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;7021;1883;;737,3
Weberstraße 13;Campus INF;Jahr;4,819;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;7030;;;229,77
Berliner Straße 48;Campus INF;Jahr;31,587;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;7050;1953;;2184,35
Berliner Straße 48;Campus INF;Jahr;196,246;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;7050;1953;;2184,35
Philosophenweg 12;Campus INF;Jahr;421,411;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;8010;1913;;5870,91
Philosophenweg 12;Campus INF;Jahr;693,651;MWh;Wärme;Energie Südbayern GmbH;8010;1913;;5870,91
Albert-Überle-Straße 3-5;Campus INF;Jahr;275,587;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;8021;1963;;271,36
Albert-Überle-Straße 2;Campus INF;Jahr;55,61;MWh;Wärme;Stadtwerke Heidelberg Energie GmbH;8030;1912;;654,01
Philosophenweg 16;Campus INF;Jahr;136,874;MWh;Wärme;Energie Südbayern GmbH;8050;1913;;1062,86
Philosophenweg 19;Campus INF;Jahr;38,976;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;8080;1924;;943,5
Philosophenweg 19;Campus INF;Jahr;84,741;MWh;Wärme;Energie Südbayern GmbH;8080;1924;;943,5
Ziegelhäuser Landstraße 17;Campus INF;Jahr;23,466;MWh;Strom;Stadtwerke Heidelberg Energie GmbH;8140;1733;;1238,7
Ziegelhäuser Landstraße 17;Campus INF;Jahr;168,98;MWh;Wärme;Haisch Mineralöle;8140;1733;;1238,7
Notstromaggregat Grabengasse 14-16;Campus Altstadt;Jahr;1,697777778;MWh;Öl;Haisch Mineralöle;Notstrom 2100;1978;;
Notstromaggregat Mathematikon;Campus INF;Jahr;42,88888889;MWh;Öl;Haisch Mineralöle;Notstrom 6205;2014;;
Notstromaggregat Chemische Institute;Campus INF;Jahr;31,66666667;MWh;Öl;Haisch Mineralöle;Notstrom 6270;1954;;
Notstromaggregat ZMBH;Campus INF;Jahr;3,655555556;MWh;Öl;Haisch Mineralöle;Notstrom 6329;2011;;
Notstromaggregat Theoretikum;Campus INF;Jahr;36,28969278;MWh;Öl;Haisch Mineralöle;Notstrom 6346;1974;;
